,ID,Recency_Cluster,Frequency_Cluster,Wines_Cluster,Fruits_Cluster,Meat_Cluster,Fish_Cluster,Sweets_Cluster,Gold_Cluster
123,6142,1,0,1,0,0,1,0,0
124,4107,1,1,0,0,0,0,0,0
125,9336,1,1,1,0,0,0,0,0
126,2958,1,0,0,0,0,0,0,0
127,10704,1,1,1,0,0,0,0,2
128,5125,1,2,1,0,2,2,1,0
129,2928,1,1,2,0,0,0,0,0
130,5680,1,0,0,0,0,0,0,0
131,2557,1,0,0,0,0,0,0,0
132,1245,1,2,2,0,1,0,0,1
133,2098,1,0,0,0,0,0,0,0
134,2724,1,0,0,0,0,0,0,0
135,2066,1,0,0,0,0,0,0,0
136,9799,1,1,2,0,0,0,0,1
137,2669,1,1,1,2,1,1,1,1
138,3428,1,1,2,0,1,1,0,0
139,6354,1,0,0,0,0,0,0,0
140,194,1,0,0,0,0,0,0,0
141,10882,1,1,1,1,1,1,2,0
142,4216,1,2,2,2,0,2,2,1
143,1340,1,2,1,2,2,2,2,0
144,5987,1,0,0,0,0,0,0,0
145,4324,1,2,0,0,1,0,0,2
146,9347,1,0,0,0,0,0,0,0
147,5012,1,0,0,0,0,0,0,0
148,4947,1,2,1,0,2,2,2,1
149,7540,1,0,0,0,0,0,0,0
150,7851,1,1,0,0,1,2,2,1
151,7059,1,1,1,1,1,2,1,2
152,2815,1,0,0,0,0,0,0,0
153,2021,1,2,1,1,1,1,2,1
154,9081,1,0,0,0,0,0,0,0
155,178,1,2,1,0,1,1,1,1
156,10581,1,2,1,0,0,0,0,1
157,5300,1,0,0,0,0,0,0,0
158,5154,1,0,0,0,0,0,0,0
159,2426,1,2,1,1,0,2,1,0
160,716,1,2,1,0,1,1,0,0
161,5140,1,2,2,0,0,1,1,2
162,10160,1,0,0,0,0,0,0,0
163,8939,1,2,1,2,0,1,0,1
164,182,1,1,1,0,0,0,0,1
165,203,1,1,2,0,2,1,1,0
166,9214,1,1,0,0,0,0,0,1
167,35,1,0,0,0,0,0,0,1
168,2004,1,1,1,1,1,1,1,1
169,4769,1,2,1,0,0,0,0,0
170,4437,1,0,0,0,0,0,0,0
171,8724,1,0,0,0,0,0,0,0
172,11096,1,0,0,0,0,0,1,0
173,3665,1,0,0,0,0,0,0,0
174,10591,1,1,0,0,0,0,0,0
175,5036,1,1,0,0,0,0,0,1
176,7822,1,1,0,0,1,0,2,1
177,9671,1,1,0,0,0,0,0,0
178,2256,1,0,0,0,0,0,0,0
179,8692,1,1,0,0,0,0,0,0
180,448,1,1,1,1,0,1,1,1
181,3174,1,1,2,1,1,1,1,0
182,4184,1,0,0,0,0,0,0,0
183,891,1,0,0,0,0,0,0,0
184,10381,1,0,0,0,0,0,0,0
185,3526,1,0,0,0,0,0,0,0
186,8181,1,1,0,0,0,0,0,0
187,7369,1,0,0,0,0,0,0,0
188,1160,1,1,0,0,0,0,0,0
189,10242,1,0,0,0,0,0,0,0
190,5966,1,1,0,0,0,0,0,0
191,5081,1,0,0,0,0,0,0,0
192,5123,1,0,0,0,0,0,0,1
193,5756,1,0,0,0,0,0,0,0
194,9058,1,1,2,0,1,0,0,2
195,3710,1,0,0,0,0,0,0,0
196,3075,1,0,0,0,0,0,1,0
197,6919,1,0,0,0,0,0,0,0
198,3537,1,1,0,0,0,0,0,0
199,8477,1,0,0,0,0,0,0,0
200,6682,1,0,0,0,0,0,0,0
201,10972,1,0,1,1,0,1,0,0
202,10708,1,0,0,0,0,0,0,0
203,6583,1,1,1,0,1,1,1,1
204,10156,1,1,0,1,1,2,0,2
205,10727,1,2,2,2,1,0,0,0
206,9624,1,0,1,1,1,0,0,1
207,1907,1,2,2,1,1,1,1,1
208,701,1,1,1,0,1,1,1,1
209,4149,1,1,1,1,2,0,0,0
210,2131,1,2,2,1,0,0,0,0
211,4381,1,1,0,0,0,0,0,0
212,4611,1,2,2,2,0,2,0,2
213,4679,1,2,1,0,0,1,1,1
214,6728,1,0,0,0,0,0,0,0
215,6661,1,2,2,1,1,0,1,0
216,3867,1,2,1,2,1,0,1,1
217,1987,1,0,0,0,0,0,0,0
218,11007,1,0,0,0,0,0,0,0
219,9204,1,1,1,2,1,1,2,2
220,3197,1,1,1,1,0,1,2,1
221,2920,1,1,2,0,0,0,0,0
222,2891,1,2,1,0,0,0,0,2
223,10767,1,1,2,1,1,0,1,0
224,8315,1,0,0,0,0,0,0,0
225,2868,1,0,0,0,0,0,0,0
226,10888,1,1,0,0,0,1,1,0
227,4472,1,0,0,0,0,0,0,0
228,1272,1,2,1,1,0,0,0,1
229,1044,1,1,1,0,1,0,0,1
230,10479,1,0,2,1,1,1,2,2
231,1715,1,0,0,0,0,0,0,0
232,4329,1,0,0,0,0,0,0,0
233,6086,1,1,1,0,2,1,1,0
234,437,1,1,1,2,1,2,1,2
235,11171,1,2,1,0,0,0,0,0
236,610,1,2,1,0,0,0,0,0
237,9384,1,1,1,0,0,0,0,1
238,7875,1,2,2,0,2,0,1,0
239,6516,1,0,0,0,0,0,0,0
240,3560,1,1,2,0,1,1,0,2
241,7235,1,0,0,0,0,0,0,0
242,2281,1,0,0,0,0,0,0,0
243,7723,1,1,1,1,1,1,1,1
244,4012,1,2,2,0,1,0,0,0
245,6887,1,1,0,0,1,0,1,0
246,8786,1,1,1,0,0,0,0,1
247,1915,1,1,2,2,1,2,0,2
248,1072,1,0,0,0,0,0,0,0
249,10839,1,0,0,0,0,0,0,0
250,49,1,0,0,0,0,0,0,0
251,10219,1,0,0,0,0,0,0,0
252,6543,1,0,1,2,2,1,1,1
253,10446,1,1,0,0,1,0,0,0
254,3479,1,0,0,0,0,0,0,0
255,11075,1,1,0,0,0,0,0,0
256,199,1,1,0,0,0,0,0,0
257,3749,1,2,1,1,2,2,1,0
258,8523,1,1,0,0,0,0,0,0
259,236,1,0,0,0,0,0,0,0
260,4599,1,2,1,0,0,0,0,0
261,9145,1,1,1,0,1,1,2,1
262,3900,1,1,1,0,0,0,0,1
263,7034,1,0,0,0,0,0,0,0
264,1143,1,0,0,0,0,0,0,0
265,5536,1,1,2,1,1,1,1,0
266,5989,1,2,2,2,1,0,2,0
267,4887,1,0,0,0,0,0,0,0
268,3321,1,1,1,0,0,0,0,0
269,9904,1,2,1,2,1,1,2,2
270,6141,1,1,0,0,0,0,0,1
271,10856,1,0,0,0,0,0,0,0
272,368,1,1,0,1,0,0,1,0
273,5848,1,1,2,1,2,1,1,2
274,5935,1,2,1,0,0,0,0,1
275,4856,1,2,1,1,2,2,2,1
276,7186,1,0,0,0,0,0,0,0
277,425,1,2,1,1,0,1,0,1
278,3007,1,0,0,0,0,0,0,0
279,807,1,1,0,0,0,0,0,0
280,4120,1,1,0,1,0,1,0,1
281,8687,1,1,0,1,0,1,0,1
282,9353,1,1,1,1,1,1,1,0
283,3623,1,0,0,0,0,0,0,0
284,738,1,1,0,0,0,0,0,0
285,7631,1,1,1,1,0,0,0,2
286,773,1,2,1,0,0,0,0,1
287,8086,1,0,0,0,0,0,0,0
288,8825,1,2,0,0,0,1,0,1
289,7108,1,1,0,0,0,0,0,1
290,9960,1,0,0,0,0,0,0,0
291,8800,1,2,1,0,1,2,1,0
292,7037,1,1,0,1,0,0,0,0
293,905,1,1,0,0,0,0,0,0
294,8624,1,1,0,1,1,1,2,1
295,8945,1,0,0,0,0,0,0,0
296,1968,1,0,0,0,0,0,0,0
297,4654,1,1,1,0,1,1,1,0
298,9308,1,0,1,1,1,2,1,1
299,4988,1,0,0,0,0,0,0,0
300,3139,1,1,2,2,2,2,1,2
301,10037,1,1,1,2,1,1,1,1
302,5303,1,1,1,0,1,1,0,0
303,1628,1,1,1,0,1,2,1,0
304,1204,1,2,2,0,1,0,1,0
305,3673,1,2,1,0,1,0,0,1
306,8957,1,2,1,1,1,1,1,2
307,4128,1,1,1,0,0,0,0,1
308,5386,1,1,2,0,2,2,1,2
309,3202,1,2,2,0,0,0,0,0
310,1328,1,1,0,1,0,1,1,2
311,6387,1,0,0,0,0,0,0,0
312,5048,1,0,0,0,0,0,0,0
313,10031,1,1,0,0,0,0,0,0
314,9665,1,1,0,0,0,0,0,1
315,4640,1,2,1,1,0,0,2,1
316,5633,1,1,0,0,0,0,0,0
317,10489,1,1,1,0,2,0,0,1
318,7011,1,0,0,0,0,0,0,0
319,2620,1,0,0,0,0,0,0,0
320,3933,1,2,0,1,1,1,1,0
321,1734,1,1,0,0,0,0,0,0
322,2611,1,1,2,1,1,2,0,0
323,1600,1,2,1,0,0,0,0,0
324,3308,1,0,0,0,0,0,0,0
325,2166,1,0,0,0,0,0,0,0
326,3056,1,2,1,1,1,0,1,1
327,6872,1,1,1,0,0,0,0,0
328,4580,1,2,2,0,2,1,1,2
329,9305,1,2,1,0,2,2,1,1
330,7378,1,2,1,0,0,0,0,0
331,1640,1,0,0,0,0,0,0,0
332,5184,1,0,0,0,0,0,0,0
333,9097,1,1,0,0,0,0,0,1
334,10473,1,2,0,0,1,0,0,0
335,6374,1,1,0,0,0,0,0,0
336,7453,1,1,0,1,0,1,1,0
337,241,1,1,2,0,1,1,0,2
338,8975,1,1,0,0,0,0,0,0
339,6119,1,0,0,0,0,0,0,0
340,5723,1,0,0,0,0,0,0,0
341,1710,1,2,0,0,0,0,0,0
342,10634,1,1,0,1,0,0,1,0
343,7010,1,1,1,2,1,2,2,1
344,4550,1,0,0,0,0,0,0,0
345,3706,1,0,0,0,0,0,0,0
346,8985,1,2,2,1,0,1,0,0
347,9220,1,1,1,2,2,1,2,0
348,9503,1,1,0,1,0,0,0,0
349,10613,1,0,0,0,0,0,0,0
350,10749,1,2,0,0,0,0,0,0
351,4767,1,1,1,2,1,2,2,1
352,5731,1,0,0,0,0,0,0,0
353,3759,1,2,2,0,0,0,0,2
354,2055,1,0,0,0,0,0,0,0
355,2223,1,2,2,1,1,1,2,2
356,3081,1,0,0,0,0,0,0,0
357,6295,1,2,1,0,0,0,0,2
358,1127,1,1,2,0,2,0,1,0
359,9964,1,1,0,1,0,1,0,0
360,4790,1,0,1,0,1,0,0,0
361,1109,1,0,0,0,0,0,0,0
362,6001,1,2,1,1,0,1,1,0
363,7409,1,1,0,0,0,0,0,0
364,880,1,0,0,0,0,0,0,0
365,2308,1,1,0,0,0,0,0,0
366,5995,1,2,0,0,0,0,0,0
367,8977,1,0,0,0,0,0,0,0
368,4756,1,2,0,0,2,0,0,1
369,10542,1,1,0,0,0,0,0,0
370,10617,1,0,0,0,0,0,0,0
371,849,1,1,1,1,0,0,1,0
372,523,1,0,0,0,0,0,0,0
373,4961,1,0,0,0,0,0,0,0
374,10525,1,0,0,0,0,0,0,0
375,1453,1,2,2,1,0,1,0,0
376,10710,1,0,0,0,0,0,0,0
377,1077,1,1,0,2,1,2,2,0
378,640,1,2,1,1,1,2,0,1
379,6905,1,1,0,1,2,0,0,1
380,5922,1,1,0,0,0,0,0,0
381,3598,1,1,1,1,0,0,0,0
382,6263,1,0,0,0,0,0,0,0
383,10486,1,1,1,1,0,0,2,1
384,10660,1,1,1,0,0,0,0,0
385,8686,1,0,0,0,0,0,0,0
386,359,1,1,1,0,0,0,0,0
387,1829,1,2,2,0,0,0,0,0
388,590,1,1,2,1,2,2,1,1
389,2315,1,0,0,0,0,0,0,0
390,2245,1,0,0,0,0,0,0,0
391,6283,1,2,1,0,0,0,0,2
392,9500,1,2,0,2,0,1,1,1
393,3602,1,0,0,0,0,0,0,0
394,234,1,0,0,0,0,0,0,0
395,2995,1,1,1,0,2,1,0,0
396,8955,1,0,0,0,0,0,0,0
397,945,1,0,0,0,0,0,0,0
398,7192,1,1,0,1,0,1,1,0
399,3439,1,1,0,0,0,0,0,1
400,8876,1,1,0,0,0,0,0,0
401,4500,1,1,2,0,1,1,0,0
402,9739,1,0,0,0,0,0,0,0
403,1176,1,0,0,0,0,0,0,0
404,7736,1,0,0,0,0,0,0,0
405,8210,1,1,1,0,0,0,0,1
406,833,1,0,0,0,0,0,0,0
407,6230,1,1,0,0,0,0,0,0
408,6211,1,0,0,0,0,0,0,0
409,843,1,2,1,0,1,1,2,0
410,6918,1,0,0,0,0,0,0,0
411,286,1,1,0,0,0,0,0,0
412,7718,1,0,0,1,1,1,0,0
413,6862,1,2,0,0,0,0,0,0
414,4136,1,1,0,0,0,0,0,0
415,4298,1,0,0,0,0,0,0,0
416,10833,1,2,2,0,0,0,0,0
417,9606,1,0,2,0,1,0,0,0
418,8534,1,2,1,0,1,0,1,0
419,5011,1,2,1,0,0,0,0,2
420,9094,1,1,1,0,0,0,0,2
421,810,1,1,0,1,0,2,1,1
422,5107,1,0,0,0,0,0,0,0
423,8147,1,0,0,0,0,0,0,0
424,5207,1,2,1,0,0,0,0,2
425,635,1,2,1,0,0,0,0,1
426,10319,1,2,2,0,0,0,0,1
427,907,1,1,0,0,0,0,0,0
428,679,1,0,0,0,0,0,0,0
429,5267,1,0,0,0,0,0,0,0
430,5543,1,2,1,0,0,0,0,1
431,5336,1,0,0,0,0,0,0,0
432,6024,1,1,2,0,2,2,1,2
433,3099,1,1,0,0,0,0,0,1
434,5841,1,2,1,0,0,0,0,1
435,4394,1,1,2,0,1,0,0,0
436,6658,1,2,2,1,0,1,0,2
437,4603,1,1,1,1,0,0,1,0
438,6197,1,1,0,0,0,0,0,0
439,4937,1,0,0,0,0,0,0,0
440,1920,1,0,0,0,0,0,0,0
441,10377,1,1,0,0,0,0,0,1
442,9206,1,2,1,1,1,1,2,2
443,839,1,0,0,0,0,0,0,0
444,5147,1,2,2,1,0,2,2,1
445,11039,1,1,0,1,0,1,0,0
446,942,1,1,0,0,0,0,0,0
447,5181,1,0,0,0,0,0,0,0
448,3834,1,2,0,2,1,2,0,1
449,7275,1,0,0,0,0,0,0,0
450,1343,1,2,1,0,0,0,0,1
451,6181,1,2,1,0,1,1,2,0
452,2698,1,1,0,0,0,0,0,0
453,10420,1,0,0,0,0,0,0,0
454,4791,1,0,0,0,0,0,0,0
455,2963,1,1,1,1,1,1,1,1
456,8140,1,0,0,0,0,0,0,0
457,2589,1,0,0,0,0,0,0,0
458,3421,1,2,1,0,0,0,0,2
459,9958,1,1,1,0,0,0,0,1
460,4188,1,1,0,0,0,0,0,1
461,6613,1,2,1,0,0,1,0,0
462,10827,1,1,0,0,0,0,0,0
463,8402,1,1,1,1,1,2,1,0
464,8783,1,1,1,0,0,0,0,0
465,10010,1,1,0,0,0,0,0,0
466,9121,1,1,2,0,1,1,0,1
467,2678,1,1,0,0,0,0,1,1
468,524,1,0,0,0,0,0,0,0
469,10341,1,0,0,0,0,0,0,0
470,5654,1,0,0,0,0,0,0,0
471,2561,1,2,2,0,1,0,0,1
472,8254,1,0,0,0,0,0,0,0
473,2836,1,0,0,0,0,0,0,0
474,8418,1,0,0,0,0,0,0,0
475,7152,1,0,0,0,0,0,0,0
476,10033,1,0,0,0,0,0,0,0
477,5967,1,0,0,0,0,0,0,0
478,4530,1,1,2,0,2,2,0,2
479,1232,1,1,1,1,1,1,1,2
480,1927,1,1,1,0,0,1,0,0
481,5788,1,0,0,0,0,0,0,0
482,6246,1,1,1,2,2,0,1,0
483,6875,1,1,0,0,0,1,0,1
484,2157,1,0,0,0,0,0,0,0
485,2525,1,1,0,1,0,1,1,0
486,10403,1,0,0,0,0,0,0,0
487,4690,1,2,1,0,0,0,0,0
488,7521,1,1,2,0,1,1,0,2
489,4706,1,0,0,0,0,0,0,0
490,5868,1,0,0,0,0,0,0,0
491,8370,1,1,1,2,1,2,2,0
492,5529,1,2,1,0,0,0,0,0
493,5763,1,1,0,0,0,0,0,0
494,1763,1,2,2,2,2,1,2,0
495,7250,1,2,1,1,0,0,0,0
496,6885,1,0,0,0,0,0,0,0
497,2072,1,2,2,0,0,0,0,0
498,6318,1,2,2,0,1,0,1,1
499,4093,1,1,0,0,0,0,0,1
500,5751,1,0,0,0,0,0,0,0
501,3340,1,2,0,0,0,0,0,1
502,3584,1,2,2,0,0,0,0,0
503,3643,1,0,2,0,0,0,0,0
504,851,1,2,1,0,0,0,2,1
505,10380,1,0,0,0,0,0,0,0
506,11110,1,0,0,0,0,0,0,0
507,202,1,1,1,2,1,2,2,1
508,3536,1,0,0,0,0,0,0,0
509,6050,1,2,2,1,1,0,0,0
510,125,1,1,0,0,0,0,0,0
511,3463,1,2,1,1,0,0,0,0
512,1079,1,2,2,0,0,0,0,0
513,3852,1,2,1,1,1,0,0,1
514,10212,1,0,0,0,0,0,0,0
515,5636,1,0,0,0,0,0,0,1
516,2217,1,0,0,0,0,0,0,0
517,7725,1,0,0,0,1,0,1,1
518,8091,1,1,1,2,1,0,1,0
519,5462,1,2,2,1,1,0,1,0
520,6642,1,0,0,0,0,0,0,0
521,879,1,2,1,0,0,0,0,0
522,10478,1,2,1,0,0,0,0,0
523,8135,1,0,0,0,0,0,0,0
524,8685,1,2,0,0,0,0,0,1
525,9952,1,1,1,1,2,0,1,0
526,1626,1,0,0,0,0,0,0,0
527,4764,1,1,0,0,0,0,0,0
528,2471,1,0,0,1,0,0,1,0
529,2612,1,2,2,2,2,1,0,0
530,10069,1,0,0,0,0,0,0,0
531,1131,1,0,0,0,0,0,0,0
532,7943,1,0,0,0,0,0,0,0
533,5272,1,2,1,0,0,0,0,1
534,800,1,0,0,0,0,0,0,0
535,8969,1,2,1,0,1,0,2,0
536,4480,1,1,1,0,0,0,0,0
537,1773,1,0,0,0,0,0,0,0
538,5423,1,0,0,0,0,0,0,0
539,8286,1,0,0,0,0,0,0,0
540,6097,1,2,1,0,0,0,0,1
541,7019,1,0,0,0,0,0,0,0
542,8041,1,2,1,1,0,1,2,0
543,3276,1,0,0,0,0,0,0,0
544,3859,1,2,1,2,1,0,1,1
545,3570,1,1,0,0,0,0,0,0
546,3783,1,0,0,0,0,0,0,0
547,10207,1,0,0,0,0,0,0,0
548,10906,1,1,0,0,0,0,0,0
549,6866,1,0,0,0,0,0,0,0
550,6575,1,2,0,1,1,0,0,1
551,5177,1,1,1,0,0,0,0,0
552,7485,1,0,0,0,0,0,0,0
553,8395,1,2,2,1,1,0,2,0
554,13,1,0,0,0,0,0,0,0
555,2295,1,1,1,0,0,1,1,0
556,2781,1,1,2,1,2,2,1,0
557,1165,1,2,0,0,0,1,0,1
558,2639,1,0,0,0,0,0,0,0
559,8299,1,0,0,0,0,0,0,0
560,6912,1,1,1,0,0,0,0,0
561,5299,1,2,2,2,1,0,0,0
562,8143,1,1,0,0,0,0,0,0
563,1964,1,1,1,2,2,0,2,1
564,3433,1,1,1,0,1,1,1,1
565,3389,1,2,2,1,1,1,2,2
566,1170,1,1,0,0,0,0,0,0
567,1215,1,1,1,2,1,1,2,1
568,2156,1,0,0,0,0,0,0,0
569,7788,1,0,0,0,0,0,0,0
570,2570,1,2,1,0,0,0,0,0
571,7397,1,2,1,0,0,0,0,1
572,10790,1,0,0,0,0,0,0,0
573,3565,1,0,0,0,0,0,0,0
574,5294,1,0,0,0,0,0,0,0
575,1045,1,1,0,0,0,0,0,0
576,4055,1,0,0,0,0,0,0,0
577,7629,1,0,0,0,0,0,0,0
578,1000,1,2,1,1,1,0,0,1
579,3828,1,2,1,0,1,2,2,2
580,8605,1,0,0,0,0,0,0,0
581,10129,1,1,1,2,1,1,2,1
582,2499,1,1,0,2,0,0,2,0
583,10092,1,2,2,0,1,2,0,0
584,7500,1,1,0,0,1,0,1,0
585,10556,1,1,0,0,0,0,0,0
586,10250,1,0,0,0,0,0,0,0
587,737,1,0,2,1,1,1,1,0
588,3571,1,1,2,0,0,0,0,0
589,5092,1,2,1,0,0,0,0,0
590,2154,1,0,0,0,0,0,0,0
591,5394,1,0,0,0,0,0,0,0
592,5247,1,0,0,0,0,0,0,0
593,8812,1,0,0,0,0,0,0,0
594,6616,1,1,0,0,0,1,1,1
595,2797,1,2,1,0,0,1,1,1
596,8584,1,0,1,1,1,2,1,1
597,2694,1,0,0,0,0,0,0,0
598,164,1,1,0,0,0,0,0,0
599,5150,1,0,0,0,0,0,0,0
600,8008,1,0,0,0,0,0,0,0
601,6173,1,2,1,2,1,0,1,1
602,10691,1,0,0,0,0,0,0,0
603,5513,1,0,0,0,0,0,0,0
604,8334,1,0,0,0,0,0,0,0
605,9166,1,1,1,1,0,1,1,2
606,78,1,0,0,0,0,0,0,0
607,5866,1,1,0,0,0,0,0,0
608,332,1,1,0,0,0,0,0,0
609,9847,1,1,1,0,0,0,0,2
610,531,1,2,2,0,1,1,1,2
611,9576,1,1,0,0,0,0,0,0
612,8527,1,1,0,0,0,0,0,0
613,4427,1,2,1,0,2,0,2,1
614,1168,1,1,1,1,2,0,1,1
615,521,1,1,0,1,1,0,0,1
616,1630,1,1,0,1,0,1,0,0
617,3254,1,0,1,1,1,1,1,1
618,9467,1,0,0,0,0,0,0,0
619,1399,1,1,1,2,1,2,2,2
620,3074,1,1,2,2,1,0,2,0
621,5180,1,0,0,0,0,0,0,0
622,7679,1,0,0,0,0,0,0,0
623,10858,1,2,1,0,0,1,2,0
624,5790,1,0,0,0,0,0,0,0
625,8462,1,0,0,0,0,0,0,0
626,544,1,0,1,1,1,2,1,1
627,3265,1,0,0,0,0,0,0,0
628,10176,1,2,0,0,0,0,0,2
629,3283,1,1,0,2,0,1,2,2
630,4994,1,2,2,1,1,2,1,0
631,7966,1,2,1,2,1,1,0,0
632,10872,1,2,2,0,0,0,0,0
633,2181,1,0,1,1,2,0,1,0
634,1867,1,1,1,1,1,1,1,1
635,1458,1,0,0,0,0,0,0,0
636,7007,1,0,0,0,0,0,0,0
637,6200,1,1,1,2,0,2,1,1
638,1403,1,0,0,0,0,0,0,0
639,6250,1,2,1,0,0,0,0,0
640,2478,1,0,0,0,0,0,0,0
641,1139,1,1,2,0,1,0,0,1
642,5393,1,0,0,0,0,0,0,0
643,7842,1,0,0,0,0,0,0,0
644,3434,1,1,1,1,2,1,0,1
645,6428,1,0,1,0,1,1,1,0
646,8514,1,0,0,0,0,0,0,0
647,10448,1,1,0,1,0,1,0,0
648,2109,1,2,1,1,2,0,0,0
649,7530,1,0,0,0,0,0,0,0
650,8925,1,2,1,1,0,1,2,1
651,6203,1,2,1,2,2,2,1,1
652,7165,1,2,1,1,0,1,1,1
653,8537,1,1,1,1,2,1,1,1
654,4331,1,1,2,0,1,0,0,0
655,10913,1,0,0,0,0,0,0,0
656,3334,1,1,2,2,2,1,2,2
657,1406,1,2,1,0,0,0,0,0
658,10821,1,1,0,0,0,0,0,0
659,4552,1,0,0,0,0,1,0,1
660,898,1,1,0,0,0,0,0,0
661,9797,1,1,0,0,0,0,0,1
