,ID,Age,Education,Marital_Status,Income,Kidhome,Teenhome,Duration_Customer,Frequency,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,Discount,Web,Catalog,Store,Web_visit,Campaign 1,Campaign 2,Campaign 3,Campaign 4,Campaign 5,Complain,Response,Income_Class,Age_Class
25,7892,54,1,0,18589.0,0,0,3740,15,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,0,2
26,2404,47,1,1,53359.0,1,1,3595,21,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,2,1
28,9422,34,1,1,38360.0,1,0,3591,12,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,1,0
29,1966,58,3,1,84618.0,0,0,3416,28,96,684,100,801,21,66,0,1,6,9,10,2,0,0,0,0,1,0,0,3,2
30,6864,34,2,0,10979.0,0,0,3235,13,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,0,0
31,3033,60,2,1,38620.0,0,0,3611,14,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,1,2
32,5710,53,1,1,40548.0,0,1,3824,14,31,110,0,5,2,0,3,2,2,1,4,5,0,0,0,1,0,0,0,1,2
33,7373,71,3,0,46610.0,0,2,3805,23,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,1,3
34,8755,77,2,1,68657.0,0,0,3691,25,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,3,3
35,10738,72,2,0,49389.0,1,1,3501,13,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,1,3
36,4339,53,3,1,67353.0,0,1,3377,30,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,2,2
37,10755,47,2,1,23718.0,1,0,3497,16,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,0,1
38,8595,50,1,0,42429.0,0,1,3335,12,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,1,1
39,2968,80,3,0,48948.0,0,0,3710,30,53,437,8,206,160,49,42,2,7,10,5,6,0,0,1,0,0,0,1,1,3
40,8601,43,1,1,80011.0,0,1,3623,25,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,3,1
41,503,38,2,1,20559.0,1,0,3671,15,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,0,0
42,8430,66,1,1,21994.0,0,1,3749,9,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,0,3
44,2139,48,2,1,7500.0,1,0,3467,13,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,0,1
45,1371,47,1,0,79941.0,0,0,3198,17,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,3,1
46,9909,27,2,1,7500.0,0,0,3794,19,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,0,0
47,7286,55,1,1,41728.0,1,0,3598,15,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,1,2
49,6566,69,3,1,72550.0,1,1,3795,36,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,3,3
50,8614,66,1,0,65486.0,0,1,3245,19,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,2,3
51,4114,59,2,1,79143.0,0,0,3884,32,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,3,2
52,1331,46,1,0,35790.0,1,0,3740,14,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,1,1
53,2225,46,1,0,82582.0,0,0,3219,22,54,510,120,550,156,40,241,1,4,9,7,1,1,0,1,0,0,0,1,3,1
54,9381,45,1,1,66373.0,1,1,3579,26,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,2,1
55,6260,68,2,1,82384.0,0,0,3784,28,55,984,51,432,180,120,190,1,3,10,13,1,0,0,0,0,1,0,1,3,3
56,10383,57,1,0,70287.0,0,0,3650,24,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,3,2
57,7437,35,1,0,27938.0,1,0,3259,9,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,0,0
59,8375,55,3,1,55954.0,0,1,3315,26,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,2,2
60,6853,41,2,0,75777.0,0,0,3557,22,12,712,26,538,69,13,80,1,3,6,11,1,0,0,0,1,1,0,1,3,1
61,3076,48,1,1,66653.0,1,1,3857,25,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,2,1
62,1012,71,1,0,61823.0,0,1,3693,31,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,2,3
63,6518,72,3,0,67680.0,0,1,3580,24,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,2,3
64,4137,75,1,1,70666.0,0,0,3402,20,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,3,3
65,8082,52,1,1,25721.0,1,0,3601,12,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,0,2
66,1386,56,1,1,32474.0,1,1,3246,11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,0,2
67,9369,44,2,0,88194.0,0,1,3299,37,19,688,14,309,201,24,38,1,11,10,10,5,1,0,1,0,0,0,1,3,1
68,4477,65,1,1,69096.0,0,1,3472,22,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,3,2
69,1357,53,1,1,74854.0,1,2,3644,24,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,3,2
70,1402,69,2,1,66991.0,0,0,3853,24,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,2,3
72,6312,64,1,1,65031.0,0,1,3666,37,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,2,2
73,8132,48,3,1,60631.0,1,1,3647,31,88,565,6,65,0,6,19,5,9,2,8,7,0,0,0,1,0,0,0,2,1
74,1050,71,1,1,28332.0,0,0,3257,10,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,0,3
75,5846,46,1,0,40246.0,1,0,3754,10,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,1,1
76,1859,51,2,1,75251.0,0,0,3868,24,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,3,2
77,7503,47,1,0,75825.0,0,0,3822,26,40,1032,105,779,137,105,51,0,5,8,9,4,0,0,1,0,0,0,1,3,1
78,10401,47,2,1,26326.0,0,0,3495,7,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,0,1
79,1618,58,1,1,56046.0,0,0,3740,29,9,577,0,64,0,0,51,2,10,1,8,8,0,0,1,0,0,0,1,2,2
80,3332,38,1,0,29760.0,1,0,3866,20,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,0,0
81,2261,54,1,1,26304.0,1,0,3568,11,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,0,2
82,5346,50,2,1,23559.0,1,0,3558,16,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,0,1
83,4119,60,2,1,38620.0,0,0,3611,14,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,1,2
84,535,36,1,0,81361.0,0,0,3321,28,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,3,0
85,5268,63,1,1,29440.0,1,1,3519,14,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,0,2
86,273,53,2,1,36138.0,1,1,3545,20,48,130,0,16,0,0,5,5,3,1,4,7,0,0,0,1,0,0,0,1,2
87,4452,66,1,0,50388.0,0,1,3229,24,3,292,6,37,0,3,34,4,6,1,6,7,1,0,0,1,0,0,1,1,3
88,8504,50,1,1,79593.0,0,0,3245,21,70,350,60,568,110,133,145,1,5,6,7,2,0,0,0,0,1,0,0,3,1
89,771,56,1,1,54178.0,0,1,3356,12,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,2,2
93,11178,51,2,0,42394.0,1,0,3295,12,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,1,2
94,2230,53,3,1,23626.0,1,0,3233,15,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,0,2
95,7516,40,1,1,30096.0,1,0,3235,12,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,0,0
96,7247,63,1,0,47916.0,0,1,3781,28,72,505,0,26,0,0,75,5,7,4,6,6,0,0,0,1,0,0,0,1,2
97,11100,51,1,0,51813.0,1,1,3641,14,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,2,2
98,4646,72,2,1,78497.0,0,0,3407,27,44,207,26,447,75,0,223,1,5,7,12,2,1,0,0,0,0,0,0,3,3
99,3037,40,3,1,50150.0,0,0,3571,21,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,1,0
100,1473,63,2,0,47823.0,0,1,3538,15,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,1,2
101,1016,64,3,0,34554.0,0,1,3288,13,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,0,2
102,4518,44,1,1,85693.0,0,1,3632,32,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,3,1
103,9370,78,3,1,65846.0,0,0,3605,20,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,2,3
104,8908,64,1,1,87195.0,0,0,3249,21,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,3,2
105,8373,44,0,1,24594.0,1,0,3398,10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,0,1
106,7533,59,1,1,49096.0,1,1,3475,20,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,1,2
107,2683,54,1,1,52413.0,0,2,3709,32,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,2,2
108,3629,45,1,0,38557.0,1,0,3754,16,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,1,1
109,10991,63,2,1,89058.0,0,0,3766,16,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,3,2
110,5077,44,1,1,77298.0,0,1,3436,27,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,3,1
111,7431,32,3,0,68126.0,0,0,3793,26,40,1332,17,311,23,51,86,1,7,4,5,9,0,0,0,1,0,0,1,2,0
112,3267,60,2,1,57288.0,0,1,3201,26,27,527,0,21,0,0,60,3,8,1,8,6,0,0,0,1,0,0,0,2,2
113,999,32,1,0,86037.0,0,0,3740,28,95,490,44,125,29,20,22,1,6,7,11,3,0,0,0,1,1,0,1,3,0
114,9215,43,3,1,43974.0,1,0,3761,28,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,1,1
115,2286,61,1,0,50785.0,1,1,3489,14,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,1,2
116,1592,53,1,1,90765.0,0,0,3353,16,25,547,99,812,151,82,33,0,4,6,5,1,1,0,0,0,1,0,0,3,2
117,367,45,2,1,36550.0,1,0,3692,29,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,1,1
118,5234,56,2,1,30753.0,1,1,3550,12,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,0,2
119,9862,54,1,1,21918.0,1,0,3424,13,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,0,2
120,9805,70,2,1,56129.0,0,1,3571,26,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,2,3
121,6205,56,2,0,32557.0,1,0,3322,14,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,0,2
122,8442,38,2,1,19510.0,2,0,3495,13,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,0,0
123,7386,47,1,0,30992.0,1,0,3630,12,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,0,1
124,7215,40,1,0,101970.0,0,0,3671,29,69,722,27,102,44,72,168,0,6,8,13,2,1,0,0,1,1,0,1,3,0
125,1491,58,2,1,71488.0,0,0,3693,17,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,3,2
126,11071,39,1,0,79607.0,0,0,3631,17,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,3,0
127,3381,70,2,1,54348.0,1,1,3218,14,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,2,3
129,11051,67,3,1,77376.0,1,1,3247,27,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,3,3
130,8026,71,1,1,62998.0,0,1,3469,24,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,2,3
131,433,65,2,0,61331.0,1,1,3673,31,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,2,2
132,9597,54,1,1,73448.0,0,0,3336,23,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,3,2
134,5290,59,3,1,41551.0,1,1,3516,24,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,1,2
135,1685,56,3,1,62981.0,0,0,3666,26,21,796,14,590,38,44,0,1,4,5,13,3,0,0,0,1,0,0,0,2,2
136,5342,47,0,0,9548.0,1,0,3887,14,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,0,1
137,9579,64,3,1,33762.0,2,1,3554,17,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,0,2
138,7660,50,3,0,35860.0,1,1,3238,11,37,15,0,8,4,2,20,2,1,1,2,5,0,0,1,0,0,0,1,1,1
139,1461,58,3,0,36921.0,1,1,3533,14,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,1,2
140,821,31,2,0,92859.0,0,0,3815,24,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,3,0
141,11084,47,2,1,65104.0,0,1,3424,24,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,2,1
142,8690,61,1,1,86111.0,0,0,3633,25,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,3,2
143,2937,49,3,0,68352.0,0,1,3502,31,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,2,1
144,9701,35,1,1,41883.0,1,0,3664,19,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,1,0
145,9949,47,1,1,59809.0,0,2,3816,23,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,2,1
146,10837,48,1,1,23957.0,1,0,3806,12,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,0,1
147,3120,42,1,1,38547.0,1,0,3502,12,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,1,1
148,5885,50,2,1,35688.0,2,1,3873,24,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,1,1
149,4050,57,2,1,49605.0,0,0,3205,11,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,1,2
150,3830,70,2,1,59354.0,0,2,3263,19,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,2,3
151,7987,54,1,1,65747.0,0,1,3311,25,96,346,17,48,23,13,13,4,8,1,6,6,0,0,0,1,0,0,0,2,2
152,7798,51,2,1,46344.0,0,1,3759,24,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,1,2
153,92,35,1,0,34176.0,1,0,3245,17,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,0,0
154,7055,71,3,1,61010.0,0,1,3825,31,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,2,3
155,10240,74,1,1,69372.0,0,0,3692,25,10,997,26,269,34,13,42,1,10,4,6,4,0,0,0,1,1,0,1,3,3
156,3025,65,1,0,49967.0,0,1,3553,22,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,1,2
157,9283,45,1,0,60199.0,1,2,3487,8,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,2,1
158,9970,46,1,1,55375.0,0,1,3452,11,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,2,1
159,2730,68,1,0,80317.0,0,0,3510,19,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,3,3
160,2795,65,2,0,30523.0,2,1,3560,11,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,0,2
161,9260,78,3,1,70356.0,0,0,3798,33,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,3,3
162,8182,39,1,1,23228.0,1,0,3372,19,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,0,0
163,10095,48,3,0,74165.0,0,0,3621,22,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,3,1
164,8475,50,3,1,157243.0,0,1,3317,37,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,3,1
165,4370,57,1,1,43482.0,2,1,3425,15,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,1,2
166,10573,70,1,0,62551.0,0,0,3420,21,27,125,16,98,134,21,27,1,6,7,4,3,0,0,1,0,0,0,0,2,3
167,3712,64,1,0,52332.0,0,0,3502,16,63,212,5,33,7,0,2,1,3,2,6,4,0,0,0,1,0,0,0,2,2
168,6637,35,1,0,66951.0,0,0,3436,16,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,2,0
169,3152,66,1,1,26091.0,1,1,3321,14,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,0,3
170,5610,58,1,1,33456.0,1,1,3266,13,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,0,2
171,6460,41,1,1,28718.0,1,0,3548,15,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,0,1
172,1349,53,1,1,50447.0,2,0,3266,14,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,1,2
173,1880,64,3,1,53537.0,1,1,3347,13,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,2,2
174,641,56,1,0,52074.0,0,1,3283,11,77,59,0,12,0,0,48,1,2,2,2,4,0,0,1,0,0,0,0,2,2
175,8717,48,3,1,80427.0,0,1,3852,33,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,3,1
176,10314,75,3,1,83837.0,0,0,3757,29,79,847,66,119,86,89,111,1,9,10,5,4,1,0,0,1,0,0,1,3,3
177,10854,53,3,1,38853.0,1,1,3234,14,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,1,2
178,10492,64,1,1,38285.0,2,1,3202,6,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,1,2
179,6935,72,2,1,78497.0,0,0,3407,27,44,207,26,447,75,0,223,1,5,7,12,2,1,0,0,0,0,0,0,3,3
180,7698,47,3,1,51650.0,0,1,3246,15,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,2,1
181,3559,35,2,1,16248.0,1,0,3247,15,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,0,0
182,10562,77,2,1,66835.0,0,0,3471,26,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,2,3
183,10796,39,2,1,30477.0,1,0,3355,12,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,0,0
184,2563,62,0,1,28249.0,0,0,3211,12,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,0,2
185,3518,40,1,1,25271.0,1,0,3768,14,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,0,0
186,5823,53,3,0,32303.0,0,1,3310,12,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,0,2
187,3934,57,1,1,61286.0,0,1,3528,23,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,2,2
188,6982,47,1,1,74068.0,0,0,3664,26,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,3,1
189,6431,59,3,1,45759.0,1,1,3688,14,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,1,2
190,9733,45,0,1,24882.0,1,0,3855,11,52,1,4,10,29,0,36,1,1,1,2,6,0,0,1,0,0,0,0,0,1
191,5602,34,3,1,66973.0,0,0,3605,31,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,2,0
193,1324,35,1,1,38872.0,1,0,3592,16,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0,1,0
194,326,50,1,1,51148.0,1,1,3693,22,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0,1,1
195,7224,46,1,1,31353.0,1,1,3379,14,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0,0,1
196,6999,43,2,1,69661.0,0,0,3244,26,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,0,3,1
197,9938,69,1,1,80067.0,0,0,3480,19,82,519,17,813,27,173,51,1,4,6,6,2,0,0,0,0,1,0,0,3,3
198,6422,69,1,1,86718.0,0,0,3725,19,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0,3,3
199,3182,50,3,0,46854.0,1,1,3287,23,81,96,1,79,7,1,79,6,5,1,3,8,0,0,1,0,0,0,1,1,1
200,7300,71,1,0,69142.0,0,1,3197,24,50,448,4,34,6,4,39,3,8,1,7,5,0,0,0,1,0,0,0,3,3
201,10424,55,1,0,75922.0,0,0,3399,19,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,0,3,2
202,8727,45,1,0,63693.0,0,1,3455,35,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,0,2,1
203,2798,46,3,1,102160.0,0,0,3801,30,54,763,29,138,76,176,58,0,7,9,10,4,1,0,0,1,1,0,1,3,1
204,1030,58,3,0,40637.0,1,1,3544,13,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,0,1,2
205,624,39,2,0,18890.0,0,0,3793,10,5,6,4,1,7,2,15,1,0,1,2,6,0,0,1,0,0,0,1,0,0
206,5176,35,1,1,29604.0,1,0,3400,14,88,7,6,13,7,6,14,1,1,0,3,9,0,0,1,0,0,0,0,0,0
207,5552,60,2,0,48721.0,1,1,3609,23,50,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0,0,0,1,2
208,868,57,1,1,44794.0,0,1,3218,12,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,1,2
209,380,69,1,0,64497.0,0,1,3854,37,17,1170,48,320,42,32,192,5,11,4,9,8,0,0,1,0,0,0,1,2,3
210,2677,67,1,1,46097.0,0,1,3652,19,11,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,0,0,1,3
211,6521,69,1,1,77972.0,0,0,3300,21,18,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,0,0,3,3
212,6927,55,3,1,44377.0,1,1,3829,27,70,224,0,30,0,0,10,8,5,1,5,8,0,0,0,0,0,0,0,1,2
213,2877,49,2,1,46014.0,1,1,3721,33,21,410,0,59,19,9,44,10,7,1,8,7,0,0,0,0,0,0,0,1,1
214,0,38,1,1,70951.0,0,0,3618,18,66,239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,0,0,3,0
215,1584,46,1,1,41443.0,1,0,3286,28,79,171,7,171,25,19,89,6,8,1,5,8,0,0,0,0,0,0,0,1,1
